metric,correlation,p_value,abs_correlation
cycle_duration_std,0.9993603077411941,1.9419982023196754e-05,0.9993603077411941
acc_z_data_rms_variance,0.963408173916976,0.008356256926802136,0.963408173916976
acc_z_data_variance_variance,0.9448382199974091,0.015422856115698767,0.9448382199974091
acc_x_data_rms_variance,0.9362594570347924,0.01913202905944243,0.9362594570347924
acc_x_data_variance_mean,-0.9026712776606944,0.035912963969252865,0.9026712776606944
acc_x_data_rms_mean,-0.894292577164606,0.040595999888915615,0.894292577164606
acc_x_data_overall_rms,-0.8916904220312949,0.042087158317845014,0.8916904220312949
gyro_x_data_overall_range,-0.852297118377829,0.06661215365897677,0.852297118377829
gyro_y_data_rms_variance,0.8441519060831004,0.07210472174693945,0.8441519060831004
acc_x_data_overall_variance,-0.8440520476845592,0.0721728939743518,0.8440520476845592
acc_z_data_overall_rms,0.8416372982520941,0.07382748190643,0.8416372982520941
acc_z_data_rms_mean,0.8314346214182652,0.08094476396672588,0.8314346214182652
acc_z_data_overall_range,0.796459804375445,0.10680314389408886,0.796459804375445
gyro_z_data_rms_mean,0.7958556880842641,0.10726856916571016,0.7958556880842641
gyro_y_data_overall_range,0.7918594061456699,0.11036272242406346,0.7918594061456699
acc_y_data_overall_rms,-0.7901987607949293,0.11165626551054691,0.7901987607949293
gyro_z_data_variance_mean,0.7849837806288779,0.11574773822353729,0.7849837806288779
gyro_y_data_variance_variance,0.7728276985705161,0.12545399229964285,0.7728276985705161
gyro_z_data_overall_variance,0.7722144350455498,0.125949811688773,0.7722144350455498
acc_y_data_rms_mean,-0.7689585541298978,0.12859188906464813,0.7689585541298978
acc_xy_correlation,0.767721001364897,0.12960040385275193,0.767721001364897
acc_z_data_overall_variance,0.7606700480136138,0.13539071819373535,0.7606700480136138
acc_xz_correlation,0.7553829181399627,0.13978131873652738,0.7553829181399627
acc_magnitude_variance,-0.7507490220544478,0.14366321510650623,0.7507490220544478
gyro_z_data_overall_rms,0.742436637965727,0.15070421963926275,0.742436637965727
acc_x_data_variance_variance,0.7092841242139062,0.17973284067422582,0.7092841242139062
acc_z_data_variance_mean,0.6939374726884096,0.19365571440586415,0.6939374726884096
acc_z_data_range_mean,0.6833839050657184,0.20339866052331393,0.6833839050657184
gyro_z_data_range_mean,0.6742852712765891,0.21190513275825912,0.6742852712765891
acc_x_data_range_mean,-0.6651903076386599,0.22050436628577413,0.6651903076386599
acc_y_data_rms_variance,0.5637166859478455,0.32232411788216864,0.5637166859478455
gyro_xz_correlation,-0.536974669776238,0.35075113498027666,0.536974669776238
cycle_duration_mean,0.5282613247827168,0.3601406963307162,0.5282613247827168
gyro_x_data_overall_rms,-0.5081977509591258,0.3819877864102787,0.5081977509591258
gyro_z_data_rms_variance,0.4990197364010781,0.3920834671300418,0.4990197364010781
gyro_xy_correlation,-0.48469422019232855,0.4079641990568189,0.48469422019232855
gyro_yz_correlation,0.48443599359015954,0.4082518048497479,0.48443599359015954
gyro_y_data_variance_mean,0.4757367147464142,0.4179680886880756,0.4757367147464142
gyro_y_data_rms_mean,0.4584867423579876,0.437387648811198,0.4584867423579876
gyro_y_data_overall_rms,0.45692676258768256,0.4391536101672224,0.45692676258768256
gyro_magnitude_variance,0.456382528151467,0.4397700808196296,0.456382528151467
gyro_x_data_overall_variance,-0.45131473588419935,0.4455197690331122,0.45131473588419935
gyro_y_data_overall_variance,0.4499787860664634,0.447038241402964,0.4499787860664634
gyro_x_data_range_mean,0.43343351303721,0.4659375626886901,0.43343351303721
gyro_magnitude_rms,0.4238309515607428,0.47698376012247296,0.4238309515607428
gyro_y_data_range_mean,0.40859376533775915,0.4946238334426914,0.40859376533775915
acc_yz_correlation,-0.3763174442817909,0.5324199770168343,0.3763174442817909
gyro_z_data_variance_variance,0.33617307390032497,0.5801757460964503,0.33617307390032497
acc_x_data_overall_range,-0.3354808264636149,0.5810059546222894,0.3354808264636149
gyro_x_data_rms_mean,-0.3308083058884866,0.5866153404357114,0.3308083058884866
gyro_x_data_rms_variance,-0.2594573598669471,0.6733934252268617,0.2594573598669471
acc_y_data_variance_variance,0.24528790759445082,0.6908503771785548,0.24528790759445082
acc_y_data_overall_variance,-0.2238229669204225,0.717417385011052,0.2238229669204225
acc_y_data_overall_range,0.21453991684250343,0.7289494830609609,0.21453991684250343
acc_y_data_variance_mean,-0.16608564344350052,0.7895094527103554,0.16608564344350052
gyro_x_data_variance_variance,-0.14819750392479067,0.8120020583983905,0.14819750392479067
acc_y_data_range_mean,0.07182546561352804,0.9086276688976158,0.07182546561352804
gyro_z_data_overall_range,-0.06167155982002427,0.9215271349623099,0.06167155982002427
gyro_x_data_variance_mean,-0.04604161408462995,0.9413987142839783,0.04604161408462995
acc_magnitude_rms,-0.04412794045802465,0.943832801262315,0.04412794045802465
